match,team1,team2,match_date,match_number,match_venue,match_city,player_of_the_match,match_umpire1,match_umpire2,first_inning_score,second_inning_score,match_winner,winner_runs,winner_wickets,match_type
NetherlandsVsAfghanistan,Netherlands,Afghanistan,11/3/2023,34,BharatRatnaShriAtalBihariVajpayeeEkanaCricketStadium,Lucknow,MohammadNabi,NitinMenon,Sharfuddoula,179,181,Afghanistan,0,7,Group
NewZealandVsPakistan,NewZealand,Pakistan,11/4/2023,35,MChinnaswamyStadium,Bengaluru,FakharZaman,PWilson,RAKettleborough,401,200,Pakistan,21,0,Group
AustraliaVsEngland,Australia,England,11/4/2023,36,NarendraModiStadium,Ahmedabad,AZampa,CBGaffaney,MErasmus,286,253,Australia,33,0,Group
IndiaVsSouthAfrica,India,SouthAfrica,11/5/2023,37,EdenGardens,Kolkata,VKohli,HDPKDharmasena,PRReiffel,328,83,India,243,0,Group
SriLankaVsBangladesh,SriLanka,Bangladesh,11/6/2023,38,ArunJaitleyStadium,Delhi,ShakibAlHasan,MErasmus,RKIllingworth,279,282,Bangladesh,0,3,Group
AfghanistanVsAustralia,Afghanistan,Australia,11/7/2023,39,WankhedeStadium,Mumbai,GJMaxwell,AGWharf,MAGough,291,293,Australia,0,3,Group
EnglandVsNetherlands,England,Netherlands,11/8/2023,40,MaharashtraCricketAssociationStadium,Pune,BAStokes,AhsanRaza,RJTucker,339,179,England,160,0,Group
SriLankaVsNewZealand,SriLanka,NewZealand,11/9/2023,41,MChinnaswamyStadium,Bengaluru,TABoult,ATHoldstock,JSWilson,171,172,NewZealand,0,5,Group
AfghanistanVsSouthAfrica,Afghanistan,SouthAfrica,11/10/2023,42,NarendraModiStadium,Ahmedabad,HEvanderDussen,CMBrown,NitinMenon,244,247,SouthAfrica,0,5,Group
BangladeshVsAustralia,Bangladesh,Australia,11/11/2023,43,MaharashtraCricketAssociationStadium,Pune,MRMarsh,AhsanRaza,MErasmus,306,307,Australia,0,8,Group
EnglandVsPakistan,England,Pakistan,11/11/2023,44,EdenGardens,Kolkata,DJWilley,PWilson,RJTucker,337,244,England,93,0,Group
IndiaVsNetherlands,India,Netherlands,11/12/2023,45,MChinnaswamyStadium,Bengaluru,ShreyasIyer,MErasmus,RKIllingworth,410,250,India,160,0,Group
IndiaVsNewZealand,India,NewZealand,11/15/2023,46,WankhedeStadium,Mumbai,MohammedShami,RKIllingworth,RJTucker,397,327,India,70,0,SemiFinal
SouthAfricaVsAustralia,SouthAfrica,Australia,11/16/2023,47,EdenGardens,Kolkata,TMHead,NitinMenon,RAKettleborough,212,215,Australia,0,3,SemiFinal
IndiaVsAustralia,India,Australia,11/19/2023,48,NarendraModiStadium,Ahmedabad,TMHead,RKIllingworth,RAKettleborough,240,241,Australia,0,6,Final
